Gene.symbol	Gene.ID	adj.P.Val	logFC
IGKC	3514	3.95946957250847e-24	-5.33034649626107
SIDT1	54847	4.37620366915311e-24	-4.21194153238695
IFNLR1	163702	5.21353410799437e-24	-2.12654459338228
FAH	2184	5.29476653151246e-24	3.15910644055944
TTC21A	199223	5.43339084301017e-24	-2.45208148435198
HLA-DOA	3111	5.46103714099473e-24	-3.54843692432634
SYNRG	11276	5.68865642246887e-24	-1.99081326849417
FHL3	2275	9.30618471607373e-24	2.70061581231235
IGK///IGKC	50802///3514	9.87034342228208e-24	-2.21247004859441
MPP1	4354	1.22396839878685e-23	3.75087301444522
		1.22396839878685e-23	-2.21254246571329
HLA-DOA	3111	1.22659469463951e-23	-5.12373233054079
SYT17	51760	1.27759633785387e-23	-1.82561844789744
LY9	4063	1.30318036237195e-23	-3.98650228348485
FCGR2B	2213	1.40991010532516e-23	-4.54281136372028
SYNE2	23224	1.47432902368652e-23	-3.147328793
CBLN3	643866	1.54473327811149e-23	-2.55433455155944
CCR7	1236	1.64479499584481e-23	-4.95919934112121
P2RX5-TAX1BP3///P2RX5	100533970///5026	1.71480563482917e-23	-4.4812630578648
ABCB4	5244	1.86264277695355e-23	-4.56324582021212
IL24	11009	1.87543667189177e-23	-1.41877964285781
PATL2	197135	2.07344274304675e-23	-2.38639047611189
BHLHE41	79365	2.15041680092683e-23	-2.06716043531002
SNX22	79856	2.32324802388677e-23	-2.61504863300233
PPM1K///PPM1K	152926///152926	2.43262791695553e-23	-2.51991212885548
DNAJC5B	85479	2.89767505475766e-23	-1.63230967254312
DENND5B	160518	3.81871683920207e-23	-3.63383441023543
ZMIZ2	83637	3.90454768357528e-23	-1.42439995005361
VSIG1	340547	4.15111901784101e-23	-3.97419612333566
MAP3K9	4293	4.9590604739018e-23	-2.04547714422378
IGHV5-78	28387	5.72786227210109e-23	-4.52559447456177
TFEB	7942	6.13395896037595e-23	-2.08850421379953
IGHV3-48///IGHV3-69-1///IGHV3OR16-7	28424///28402///28309	6.38992455092852e-23	-5.66591619979487
CHL1	10752	7.42615603156003e-23	-2.31431131301399
DMXL2	23312	8.63139396509832e-23	4.31963226836364
GPR18	2841	9.76968517566981e-23	-4.87935936300933
ST6GAL1	6480	1.0197401002462e-22	-3.23826591141259
PGD	5226	1.05985165623297e-22	2.51255205820979
POU2F2	5452	1.39890640530519e-22	-2.08132658926107
SP140L	93349	1.68506058195281e-22	-3.0958968504662
SLC44A2	57153	2.01251415183493e-22	-3.44445964313054
C5orf45	51149	2.29258329300599e-22	-1.53375264353147
ANKRD13A	88455	2.59279751717358e-22	-1.58266592537296
SCIMP	388325	2.91405105697626e-22	-5.61697575332168
PTPRO	5800	4.72636710365716e-22	-2.3222955018042
PRC1	9055	4.94048047721215e-22	3.24135089659207
PARP15	165631	6.35910048909755e-22	-5.33108398763636
DMXL1	1657	7.16249968665049e-22	-1.97904667881818
MAPKAPK3	7867	7.16249968665049e-22	2.23146718840793
E2F5	1875	7.16249968665049e-22	-3.69721523844755
ARID5B	84159	7.98343853733739e-22	-3.66419944125175
ERLIN1	10613	8.3074949612599e-22	2.67189396960606
LOC81691	81691	8.40007074838676e-22	3.05463578649883
SNX29P1///SNX29P2///SNX29	100652781///440352///92017	8.56224365763178e-22	-3.48789938965967
KCNH8	131096	8.81482463465997e-22	-2.84367703742657
COBLL1	22837	1.22792756031741e-21	-4.52601136639627
CD24	100133941	1.27479866131055e-21	-4.84422496943357
FUT4	2526	1.33331148312356e-21	1.92076693757576
EFCAB13	124989	1.56990831888051e-21	-3.03529929473427
PCSK7	9159	1.91959179410112e-21	-1.60328273485315
GPM6A	2823	1.95058416695612e-21	-2.07048352344289
LTBR	4055	2.07819447386384e-21	2.50287810129604
IL4R	3566	2.07819447386384e-21	-3.83480221550583
BIRC3	330	2.31536363347604e-21	-5.33341965210256
LOC102723407///IGHV4-31///IGHM///IGHD///IGHA2///LOC102723407///SKAP2///IGHA2///IGHA1///IGH	102723407///28396///3507///3495///3494///102723407///8935///3494///3493///3492	2.47926063870599e-21	-5.74632160802098
VAV2	7410	2.61970660499727e-21	-2.88897668771096
CDCA7	83879	2.84972609821756e-21	3.3570358193986
ST3GAL4	6484	3.15035450473771e-21	2.19849253699301
NAPSB	256236	4.5774308587986e-21	-2.83157262565501
COMT	1312	5.27855562520308e-21	1.83937469314452
SETBP1	26040	5.42587100470323e-21	-2.89194077203497
BEND5	79656	6.80702546770856e-21	-2.5871156460676
SLAMF6	114836	6.8396997024106e-21	-5.68929332967366
QSOX1	5768	7.09657290841452e-21	2.33986365950816
TPX2	22974	7.50011582170017e-21	3.93436851115385
LAMP2	3920	7.50011582170017e-21	2.16853626650349
ISG20	3669	1.03555292888996e-20	-2.97448872575291
CHEK1	1111	1.0493250445842e-20	3.28327982978555
PSTPIP2	9050	1.11571742610019e-20	4.67848237654079
KATNB1	10300	1.30272734762906e-20	1.31720757195338
ZNF532	55205	1.30272734762906e-20	-3.48735368523776
DERL3	91319	2.27856396975433e-20	-1.42833605626573
DGKD	8527	2.336989160082e-20	-2.19032223986946
CNR1	1268	2.35647686915939e-20	-1.51032613468998
GNG7	2788	2.45002178638672e-20	-3.32841143367366
RNF24	11237	2.62464967549215e-20	2.07316689748252
CYFIP2	26999	2.93741247688365e-20	-2.85367760296037
IQGAP3	128239	3.16749272089299e-20	2.31364823611888
BMP1	649	3.75313663799834e-20	1.7143727030303
GVINP1	387751	3.87860557125567e-20	-3.81992274891375
RALGPS2	55103	4.0414398352402e-20	-5.12126506954313
OR2T35///OR2T2	403244///401992	4.34366990336529e-20	-1.72451249184615
RHBDF2	79651	4.64736692901433e-20	-2.21508993369464
FGD2	221472	4.72127701793159e-20	-3.56331107717716
		5.11699344933825e-20	-3.70693363858741
ATP8B4	79895	5.48831024333156e-20	5.53581790140559
REEP4	80346	6.18642349976831e-20	2.0979670153007
EIF2AK3	9451	6.75943492388727e-20	-2.65777420638928
		7.49531009735552e-20	-1.56384485340326
KIAA0355	9710	8.67745715741699e-20	-2.311046115331
RUBCN	9711	9.2920181305602e-20	-1.75358536996737
PRR11	55771	1.06500013372164e-19	3.14745772461306
MOXD1	26002	1.16619100481994e-19	-2.28824446841026
CHAD	1101	1.16783108549643e-19	-1.42399955497203
TLR7	51284	1.27164002951811e-19	-4.56194954859674
FNIP2	57600	1.41321608054871e-19	2.9887016549021
MYO1E	4643	1.43541995841172e-19	-2.76050087461772
MITF	4286	1.47606314439316e-19	1.90374789567366
SP110	3431	1.77162208579731e-19	-3.57342173103729
TKT	7086	1.8682605497332e-19	1.78243172437995
SH2B2	10603	1.98880728544021e-19	-2.11590090451515
HLA-L	3139	2.50682623569911e-19	-2.64913232819814
CSF2RA	1438	3.03449704474134e-19	2.72610732708392
IGFLR1	79713	3.0471355758424e-19	-1.93307142584382
FAM159A	348378	3.0471355758424e-19	-2.7149807756387
COL4A4	1286	3.24316163748425e-19	-1.14250244676923
PLD1	5337	3.28753303358095e-19	4.35652780048252
		3.32751325905178e-19	-1.69530759713986
ARHGAP24	83478	3.34551034598764e-19	-4.19565031190909
MALT1	10892	3.56723683913268e-19	-2.33891361939161
KLF12	11278	3.68724376741894e-19	-3.67432410509091
CARD11	84433	3.68724376741894e-19	-3.54344573038695
PIK3C2B	5287	4.35855126102542e-19	-2.71536044977156
DGKZ	8525	4.9774702420939e-19	1.54522091513986
FANCI	55215	6.26581282451693e-19	3.3287671059627
CDT1	81620	6.81207504783178e-19	2.67728596658741
		7.44299106293907e-19	-2.72380334545921
CHMP7	91782	7.48476948797313e-19	-1.98448938322611
ANK3	288	8.4846573233027e-19	-2.46450047558741
OR2T11	127077	1.00231825222475e-18	-1.29974329162937
POLD4	57804	1.24372749757157e-18	-1.72410691848019
		1.28523915921105e-18	-2.13774915005828
HS3ST1	9957	1.28621888615554e-18	-1.58699482159207
SLC25A45	283130	1.32090295175969e-18	-1.83354928076224
PLAUR	5329	1.523125269793e-18	2.96637172300699
HLA-DPB2	3116	1.84785896099755e-18	-1.90329111789277
NIPAL4	348938	1.87409008556638e-18	-1.64858152271562
BANK1	55024	1.91470999824524e-18	-5.98264299481818
HIP1R	9026	1.97739892752529e-18	-2.17146618495338
MCM4	4173	2.00788479185339e-18	2.78059149339161
ACBD3	64746	2.12867897989621e-18	-1.25579687901632
		2.12867897989621e-18	-1.25210474592541
FRMPD3	84443	2.13076803225612e-18	-1.51187196729837
E2F1	1869	2.15538142893897e-18	1.45722287095105
SMIM14	201895	2.15538142893897e-18	-3.24480861532634
ACP5	54	2.25179425166095e-18	-2.31118282974825
CDC45	8318	2.26828360008173e-18	3.19931130134266
HLA-DQB2///HLA-DQB1	3120///3119	2.43956275933272e-18	-3.01737475275058
SCFV///IGLJ3///IGHM///IGHG1///IGHD///C14orf99///IGHV3-48///IGHV3-69-1	652070///28831///3507///3500///3495///317730///28424///28402	2.5785508660425e-18	-6.46830104845455
PVR	5817	2.59805249805388e-18	1.65199232463869
HTR3A	3359	2.84476958032712e-18	-1.44132987785781
		2.94864262573809e-18	-1.19805779498601
RASGRP1	10125	2.95854712292101e-18	-4.33526454243124
STK17A	9263	3.14216142634021e-18	-2.56313663104662
		3.22830769177953e-18	-2.59675135665734
MATN1-AS1	100129196	3.38039316644913e-18	-1.58767919622378
SDC4///ROS1	6385///6098	3.51990488373605e-18	2.28710411161072
TOP2A	7153	3.84487660595075e-18	4.05908803575291
		3.88855671509719e-18	-0.847407543277389
PSMA6	5687	4.28935209783719e-18	2.01651740731468
LINC01599	196913	4.31106206692472e-18	-1.58111634862937
SIPA1L1	26037	4.59841185803268e-18	-2.99175773757343
S1PR1	1901	4.93491174069312e-18	-4.31409896429371
ZNRF1	84937	5.17462420129432e-18	2.01082545697436
GRAP	10750	5.38169321762452e-18	-2.95957329206527
HNRNPAB	3182	5.44730401511009e-18	1.67818620624475
B3GNTL1	146712	5.45858467774841e-18	2.53379389155478
TPD52///TPD52	7163///7163	5.55901113383096e-18	-3.88625822664336
GNA15	2769	5.60589764073699e-18	3.97340648322844
TALDO1	6888	5.97438590430865e-18	1.87177188508392
ANLN	54443	7.00714111767069e-18	3.60237400091841
CTC1	80169	7.00714111767069e-18	-1.96239417509324
CST3	1471	7.21715635473803e-18	2.70477020211655
GRAMD1C	54762	7.271093786828e-18	-3.02050722931236
NET1	10276	7.59860425409832e-18	2.46358841755245
TREML2	79865	7.70780569886546e-18	-2.28666372699068
GRAPL///GRAP	400581///10750	8.22997456664358e-18	-3.05829586563403
CLEC2D	29121	8.62644426460858e-18	-3.34893940977156
SIDT2	51092	9.19920660439055e-18	-2.4272624980676
DRAM2///DRAM2	128338///128338	9.42212324676726e-18	-1.91384457350583
FAM214A	56204	1.01966850481308e-17	-2.40322914802331
		1.08724608268479e-17	-1.75536699370629
TLE1	7088	1.16437468340823e-17	-3.38536098846853
SLC39A8	64116	1.19025337317296e-17	2.00379488016317
PIWIL4	143689	1.19025337317296e-17	3.18149409650816
SCFV///IGHM///SCFV///IGHV3-30	652070///3507///652070///28439	1.32999268656911e-17	-6.85134003613054
KIAA0430	9665	1.3728109104588e-17	-1.74866104675292
CLCF1	23529	1.44175743369881e-17	-1.25680877266434
IL18	3606	1.56430117410077e-17	3.375479889669
FARP2	9855	1.71499126655216e-17	-1.6750328575641
B3GNT5	84002	1.77164520183193e-17	4.50488742264103
		1.89836025800934e-17	-1.20665063587646
ARHGAP11A	9824	1.98732596059988e-17	3.84742819291375
HRASLS2	54979	1.9990441571356e-17	-1.35163737504662
ARRB1	408	1.9990441571356e-17	3.97472176929837
KIAA1551	55196	2.03908017890266e-17	-2.48164926557109
SIT1	27240	2.10284967578127e-17	-3.20554555622145
CYB561A3	220002	2.18568630604281e-17	-2.10885738547086
CEP126	57562	2.19302809443865e-17	-1.96062362269697
LRRK2	120892	2.60888830733987e-17	-3.14983659969464
PDP1	54704	2.67456611438848e-17	-1.82909145357343
MAP4K1	11184	2.73769551082164e-17	-2.52371148262238
SIGLEC10	89790	2.75293984019295e-17	-2.57918950685082
SMIM3	85027	2.93098805553245e-17	3.0325884182028
RHOH	399	3.09307614897169e-17	-3.66828752177622
EHD3	30845	3.54017072672732e-17	-2.69016386323077
CIT	11113	3.59873578231834e-17	2.91032691337529
NT5E	4907	3.61545694532797e-17	-4.25647576246154
SLC29A1	2030	3.70816018033053e-17	2.63881354634032
SNX29	92017	4.48306942976992e-17	-2.2749727861655
STAR	6770	4.50871201482057e-17	2.71685780366201
CPNE2	221184	4.54571266536385e-17	2.8668518048648
CEP120	153241	4.65399485108e-17	-1.50077685278322
LINC00324	284029	4.74604263544302e-17	-1.54857465867366
UHRF1	29128	4.82835705375581e-17	2.55234909158042
SNX29	92017	4.87525573511246e-17	-2.19906838457109
SCML4	256380	4.930082317484e-17	-1.9470081239697
EML6	400954	4.99338766206623e-17	-2.08220939524709
TST	7263	5.09330515628421e-17	2.28149989724009
TBC1D9	23158	5.53624388460063e-17	-4.5421293666317
EML4///ALK	27436///238	5.6984728032136e-17	-2.13461773425641
RHOBTB2	23221	5.78414089404584e-17	-1.74903840162238
		6.13967976560405e-17	-2.04870517837762
CARNS1	57571	6.39085555037551e-17	-1.23045534741259
SYBU	55638	6.54730442909061e-17	-1.3876316345641
RASGRP3	25780	6.64819079336552e-17	-4.35791946106061
NR1D2	9975	6.66861360693562e-17	-1.94693761845921
HIST2H2AA4///HIST2H2AB///HIST2H2AC///HIST2H2AA3	723790///317772///8338///8337	6.67055298331451e-17	2.26128372938694
TEX2	55852	6.77144756075637e-17	1.60015655518648
CAPRIN1	4076	7.0305598383664e-17	1.03135221925175
PCED1B	91523	7.13559595278459e-17	-2.32032768883217
USP6NL	9712	7.79469253339589e-17	-2.72565594484615
MCM6	4175	8.36457185092357e-17	3.53441825876457
NCAPG	64151	8.44529052384667e-17	4.00245845565734
TRIM26	7726	8.53223151386661e-17	-1.33358419456876
		8.7770284109619e-17	-2.01591732915152
ZNF208	7757	8.8125552873433e-17	-2.48047609321212
BCL10	8915	1.03381391381637e-16	-1.15438690574126
ZBTB18	10472	1.04684268925617e-16	-2.07564837120746
		1.04853820732607e-16	4.2596553091655
SIPA1L3	23094	1.07556212937024e-16	-2.25290791721912
MAP9	79884	1.08629882349196e-16	-1.6657765705338
DTX4	23220	1.0895231734074e-16	-2.20746762951748
		1.11949304808673e-16	2.54123923128671
GCM1	8521	1.23005750876895e-16	-1.56229842574359
HDGF	3068	1.29192736145244e-16	1.48645735984149
CD1C	911	1.30659694498403e-16	-4.44928359741259
LILRA4	23547	1.33114011184059e-16	-1.81537364986713
		1.331895532052e-16	-1.52080602018881
PCGF5	84333	1.4234115042358e-16	-1.96809677372727
		1.43106534158975e-16	-1.97098778065734
ETS1	2113	1.43106534158975e-16	-3.93794860088811
MAFG	4097	1.44571442087072e-16	1.87218769006993
NCK2	8440	1.45205106614128e-16	-2.34310787088112
MICAL3	57553	1.70578213383099e-16	-1.53333147356177
CENPF	1063	1.78357925427977e-16	3.48547771274592
KIAA0226L	80183	1.85756999534778e-16	-5.44457165462005
NUP88	4927	1.89397657783212e-16	-2.05328986111189
PKP4	8502	2.02911211359919e-16	2.48934467158974
C10orf11	83938	2.02911211359919e-16	2.83128962391375
FAM76A	199870	2.04544060162275e-16	-1.42229878451748
H2AFY	9555	2.10605334782776e-16	1.74433776041725
TTC12	54970	2.15858387995272e-16	-1.8049270770373
APOBEC3F	200316	2.19446373636623e-16	-2.55906325548951
DCAF12	25853	2.30213215015064e-16	3.14338088906061
SCFV///IGLJ3///IGHV3-23///IGHV4-31///IGHM///IGHG2///IGHG1///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-30///IGHV3-48///IGHV3-75///IGHV3-69-1///IGHV3OR16-7	652070///28831///28442///28396///3507///3501///3500///3493///652070///317730///50802///28912///28442///28439///28424///28407///28402///28309	2.35432683549947e-16	-6.73976789234732
CLSPN///CLSPN	63967///63967	2.66901025282037e-16	3.73870839827273
KIF23	9493	2.72549526566245e-16	3.92114198834266
		3.09738114971663e-16	-2.94747242871795
C3AR1	719	3.15901289334871e-16	3.9314185378345
SOCS6	9306	3.16339875803002e-16	2.68639008449417
SLAMF7	57823	3.2289975709667e-16	-3.51953461829837
MZB1	51237	3.28197397449892e-16	-2.64374590286946
DDX58	23586	3.37783252239331e-16	-2.41667620835664
PPT2-EGFL8///EGFL8///PPT2	100532746///80864///9374	3.40378583735412e-16	1.89971235614452
AGBL2	79841	3.43453618602991e-16	-2.17979058010956
STARD5	80765	4.26328144625728e-16	-2.17981736488811
PTTG1IP	754	4.79050965227274e-16	1.75920799588578
MSRB2	22921	4.84558198360944e-16	2.13485131610256
HACD1	9200	5.0407391738623e-16	2.75251550879021
MGST1	4257	5.27245684880787e-16	3.65932902119114
ZWINT	11130	5.51939271940014e-16	2.77953157638228
